X,Y,fid,interferen,idinventar,idinvent_1,distrito,idinvent_2,fechaplant,alturaprim,alturatota,anchoacera,diametroco,distanciae,distanciaf,edadrelati,elemprotec,espaciodis,estadogene,estructura,fasesdesat,tipoformat,inclinacio,cartodb_id,marcoplant,nivelinter,orografiat,perimetrot,porcentpen,singularid,tipologiaa,tipologiac,tipoaguati,tipodanoti,tipointerf,tiporiegot,tipotutort,vitalidadt,esperanzas,riegotipoe,codigoespe,d_especie_,borrado,ninterno,id_inventa,icon_url
-3.67663056967532,40.4572194599734,"237429",no,,"517828","5",ARB_02-05_0000517828,2018/11/29,2,4.5,5,1,MEDIANA,MEDIANA,NC,,SUFICIENTE,SANO,,,,,"237069","5",,LLANO,16,,,,,POTABLE,,,BASICO,TUTOR_MADERA,,,OTROS,,,"0","517828",,./0.png
-3.67116343976376,40.4491390986277,"237430",no,,"517833","5",ARB_02-05_0000517833,2018/11/29,2,4.5,4,1,PEQUENA,GRANDE,NC,,SUFICIENTE,SANO,,,,,"237070","5",,LLANO,16,,,,,POTABLE,,,BASICO,TUTOR_MADERA,,,BOCA_RIEGO,,,"0","517833",,./0.png
-3.67107098976249,40.449151346164,"237431",no,,"517834","5",ARB_02-05_0000517834,2018/11/29,2,4.5,4,1,PEQUENA,GRANDE,NC,,SUFICIENTE,SANO,,,,,"237071","3",,LLANO,16,,,,,POTABLE,,,BASICO,TUTOR_MADERA,,,BOCA_RIEGO,,,"0","517834",,./0.png
-3.67098890972932,40.4491628128812,"237432",no,,"517835","5",ARB_02-05_0000517835,2018/11/29,2,4.5,4,1,PEQUENA,GRANDE,NC,,SUFICIENTE,SANO,,,,"15","237072","3",,LLANO,16,,,,,POTABLE,,,BASICO,TUTOR_MADERA,,,BOCA_RIEGO,,,"0","517835",,./0.png
-3.66982101652733,40.4494406562379,"237434",no,,"517838","5",ARB_02-05_0000517838,2018/11/29,2,4.5,4,1,MEDIANA,GRANDE,NC,,SUFICIENTE,SANO,,,,,"237074","3",,LLANO,16,,,,,POTABLE,,,BASICO,TUTOR_MADERA,,,BOCA_RIEGO,,,"0","517838",,./0.png
-3.67296777938164,40.4393157196615,"237437",no,,"518760","5",ARB_02-05_0000518760,2019/01/10,,4.5,8,1,MUY_GRANDE,MEDIANA,NC,,,SANO,,,,"15","237081",,,,16,,,,,POTABLE,,,,TUTOR_MADERA,,,BOCA_RIEGO,,,"0","518760",,./0.png
-3.678674307264,40.4514595900627,"237445",no,,"520201","5",ARB_02-05_0000520201,,3,5.5,,1,MEDIANA,GRANDE,NC,,,SANO,,,,,"237090","4",,LLANO,16,,,,,,,,BASICO,TUTOR_MADERA,,,,,,"0","520201",,./0.png
-3.67867196086116,40.4513789524235,"237447",si,,"520204","5",ARB_02-05_0000520204,,3,6,,1,MEDIANA,GRANDE,NC,,SUFICIENTE,SANO,,,,,"237092","4",MEDIO,LLANO,18,,,,,,,MOBILIARIO,BASICO,TUTOR_MADERA,,,,,,"0","520204",,./0.png
-3.67867562183447,40.449965600873,"237449",,,"520222","5",ARB_02-05_0000520222,,2,5,,1,,,NC,,,SANO,,,,,"237094",,,,16,,,,,,,,,TUTOR_MADERA,,,,,,"0","520222",,./0.png
-3.67489872465623,40.472256007744,"237559",,,"522765","5",ARB_02-05_0000522765,,,,,,,,RC,,,SANO,,,,,"237276",,,,,,,,,,,,,TUTOR_MADERA,,,,,,"0","522765",,./0.png
